String Identifier	String Description (Comments)	English_US	English_UK	Portuguese	Spanish	Catalan	French	Italian	Dutch	German	Czech	Polish	Russian	Ukrainian	Croatian	Greek	Turkish	Hebrew	Arabic	Persian	Simplified Chinese	Korean	Japanese
Card_OptA_3243	49	Fine all of those that do not abide by the rules 	Fine all of those that do not abide by the rules 	Multe todos que não se enquadre nas regras ao pé da letra	Multemos a todos los que no cumplan las reglas hasta la última coma	Multarem a tots els que no segueixin les regles amb pèls i senyals	Verbalisons tous ceux qui ne suivent pas cette règle à la lettre	Multiamo tutti quelli che non rispettano le regole alla lettera	Geef iedereen een boete die zich niet aan de regels houden	Geldstrafe für alle, die sich nicht strikt an die Regeln halten	Pokutujme všechny, kteří naše pravidla do písmene nedodrží	Trzeba karać finansowo każdego, kto łamie przepisy.	Штрафовать всех, кто не соблюдает правила.	Оштрафуймо всіх, хто не дотримується правил до останньої краплі	Pronađite sve one koji ne poštuju ova pravila	Πρόστιμα σε όλους όσους δεν ακολουθούν τους κανόνες κατα γράμμα.	Kurallara harfi harfine uymayan herkese para cezası verin	קנס את כל מי שלא שומר את החוקים הכתובים	تغريم كل من لا يلتزم حرفياً بالإرشادات	کسانیکه از قانون سرپیچی میکنند را جریمه کنید	对所有不遵守规定的人处以罚款	규칙을 조금이라도 어기면 무조건 벌금을 매깁시다.	ルールを文字通りに守れない人に罰金を科そう
Card_OptB_3243	32	Send our scientists to the media	Send our scientists to the media	Mande nossos cientistas se manifestarem na mídia	Enviemos a nuestros cientificos a todos los medios de comunicación	Enviem als nostres científics a tots els mitjans de comunicació	Que nos scientifiques aillent parler aux médias	Mandiamo i nostri scienziati a parlare con i media	Stuur onze wetenschappers naar de media	Entsende unsere Wissenschaftler zur Medienarbeit	Pošleme naše vědce do všech médií	Wyślijmy naukowców do mediów.	Отправьте наших ученых в СМИ	Давайте надішлемо наших вчених до всіх засобів масової інформації	Pošaljimo znanstvenike u medije	Ας στείλουμε τους επιστήμονές μας στα Μέσα Ενημέρωσης	Bilim insanlarımızı basına gönderin	שלח את המדענים שלנו לתקשורת	إرسال علماءنا إلى وسائل الإعلام	دانشمندان ما را به رسانه ها بفرستید	送我们的科学家到媒体上	미디어에 과학자를 내보냅시다.	専門家をメディアに送って説明させよう
CardTitle_3244		Let's double up	Let's double up	Vamos dobrar	Pasodoble	Doblem-ho!	Temps double	Raddoppiamo	Laten we het verdubbelen	Lass uns verdoppeln	Paso doble	Podwójmy	Бегом - МАРШ!	Пасодобль	Udvostručimo	Διπλάσια κρεβάτια;	İki katına çıkartalım	בואו נכפיל	لنضاعف	بیایید دو برابر کنیم	翻倍床位	2인용 침대	2倍策
CardText_3244		We will need more hospital capacity	We will need more hospital capacity	Vamos precisar de mais leitos hospitalares	Necesitaremos mucha más capacidad hospitalaria	Necessitarem molta més capacitat hospitalària	Nous allons avoir besoin de plus de capacité hospitalière	Abbiamo bisogno di più posti letto negli ospedali	We hebben meer ziekenhuiscapaciteit nodig	Wir werden mehr Krankenhauskapazität brauchen	Potřebujeme navýšit nemocniční kapacity	Będziemy potrzebować więcej łóżek szpitalnych.	Нам необходимо расширить койкоемкость в больницах	Нам прийдеться покращити потужність наших лікарень	Trebat će nam više bolničkih kapaciteta	Θα χρειαστούμε περισσότερη χωρητικότητα στα νοσοκομεία.	Daha fazla hastane kapasitesine ihtiyacımız var	נצטרך יותר קיבולת בית חולים	سنحتاج إلى المزيد من سعة المستشفى	ما به ظرفیت بیشتری در بیمارستان نیاز داریم	我们将需要扩大的医院的容纳能力	환자를 받을 곳이 부족합니다.	もっと病床数が必要です
Card_OptA_3244	61	Let's start adapting underused areas to receive more patients	Let's start adapting underused areas to receive more patients	Vamos começar a adaptar áreas não usadas para acomodar os pacientes	Vayamos adaptando áreas infrautilizadas para poder recibir más pacientes	Adaptem àrees infantils infrautilitzades per poder rebre més pacients	Nous allons adapter les régions les moins utilisées pour qu'elles reçoivent plus de patients	Iniziamo ad adattare le aree poco utilizzate per accogliere più pazienti	Laten we beginnen met het aanpassen van onderbenutte gebieden om daar meer patiënten te behandelen	Beginnen wir damit, ungenutzte Bereiche so anzupassen, dass mehr Patienten aufgenommen werden	Pojďme adaptovat nevyužité prostory, abychom mohli přijímat více pacientů	Zacznijmy adaptować niewykorzystywane miejsca, aby przyjmować więcej pacjentów.	Давай начнем приспосабливать недоиспользованные отделы, чтобы обслужить больше пациентов.	Адаптуймо зони, які зазвичай не використовуються, щоб змогти прийняти більше пацієнтів	Počnimo prilagođavati nedovoljno iskorištena područja kako bismo primili više pacijenata	Ας αρχίσουμε να μεταποιούμε υποχρησιμοποιούμενες περιοχές ώστε να λαμβάνουμε περισσότερους ασθενείς.	Daha fazla hasta almak için kullanılmayan alanları ayarlayım	בואו נתחיל להתאים אזורים מנוצלים כדי לקבל יותר מטופלים	لنبدأ في تكييف الأماكن غير المستخدمة لاستقبال المزيد من المرضى	بیاید جاهای غیری ضروری را برای پذیرفتن بیماران بیشتر آماده کنیم	让我们开始调整尚未充分利用的区域来容纳更多的患者	인적이 드문 건물을 개설해서 환자를 받읍시다.	患者をもっと受け入れられるよう、今使っていないエリアを代わりに使おう
Card_OptB_3244	60	Double beds! Even if they are not ideal for the isolation...	Double beds! Even if they are not ideal for the isolation...	Duplique o número de leitos! Mesmo que não seja o ideal para o isolamento...	¡Camas dobles! Aunque no es lo ideal para el aislamiento...	Cames dobles! Malgrat no és la situació ideal per l'aïllament...	Des lits doubles! Même si ce n'est pas l'idéal pour l'isolement	Raddoppiamo i letti! Anche se non è la soluzione ideale per l'isolamento...	Dubbele bedden! Zelfs als ze niet ideaal zijn voor de isolatie ...	Doppelbetten! Auch, wenn sie nicht ideal für die Isolation sind … 	Dvojité postele! I když... z hlediska izolace to asi není nejlepší nápad.	Podwójne łóżka! Nawet jeśli nie są wskazane przy izolacji.	Двухъярусные кровати! Хотя это не идеальное решения для изоляции...	Двомісні ліжка! Хоча це й не найкращий варіант для ізоляції...	Bračni kreveti! Iako nisu idealni za izolaciju...	Διπλά κρεβάτια! Ακόμα και άν δεν είναι ιδανικά για απομόνωση...	Çift kişilik yataklar! Her ne kadar izolasyon için uygun olmasalar da...	מיטות זוגיות! גם אם הם לא אידיאליים לבידוד ...	سرارير مزدوجة! حتى لو لم تكون مثالية للعزلة ...	تخت های دونفره! حتی اگر گزینه خوبی برای قرنطین نباشند...	双倍增加床位！尽管它们不适合隔离...	2인용 침대를 들입시다! 환자 격리는 어려워지겠지만요...	それだったらダブルベッドだ！隔離は難しくなるけど…
CardTitle_3245		Hot corridors	Hot corridors	Corredores lotados	Pasillos calientes	Passadissos calents	Couloirs chauds	Corsie in allerta	Hot corridors	Beheizte Korridore	Horký koridor	Zatłoczone korytarze	Койки в коридорах	Гарячі коридори	Hektični hodnici	Κρεβάτια και στους διαδρόμους;	Sıcak koridorlar	מסדרונות חמים	ممرات ساخنة	راهروهای گرم	炎热的走廊	가득 찬 복도	あふれる廊下
CardText_3245		We have to get ready to be able to receive a high number of patients	We have to get ready to be able to receive a high number of patients	Nós precisamos nos preparar para sermos capazes de lidar com o pico dos pacientes	Tenemos que estar preparados para poder recibir picos de pacientes	Hem d'estar preparats per poder rebre pics de pacients	Nous devons être prêts pour recevoir un pic de patients	Dobbiamo essere pronti a ricevere il picco di pazienti	We moeten ons klaarmaken om de patientenpiek te kunnen ontvangen	Wir müssen uns darauf vorbereiten, den Ansturm der Patienten zu bewältigen	Musíme být připraveni na nával pacientů	Musimy być przygotowani na szczyt zachorowań.	Мы должны иметь возможность принимать большое количество пациентов.	Нам потрібно підготуватися, щоб змогти прийняти піки звернень пацієнтів	Moramo se pripremiti na prihvat najvećeg mogućeg broja pacijenata	Πρέπει να προετοιμαστούμε για την πιθανή κορύφωση εισαγωγής ασθενών.	Hasta sayısı zirveye ulaştığında hazırlıklı olmalıyız	עלינו להתכונן להיות מסוגלים לקבל את שיא החולים	علينا الإستعداد لنتمكن من استقبال الذروة في أعداد المرضى	ما باید برای اوج بیماران خود را آماده کنیم	我们必须为确诊的高峰做好准备	환자 수가 급증해도 감당할 수 있도록 준비를 갖춰야 합니다.	感染者数ピークの受け入れ態勢に入らなければいけません
Card_OptA_3245	80	Let's have beds ready and put them anywhere, even if the patients do not like it	Let's have beds ready and put them anywhere, even if the patients do not like it	Vamos deixar os leitos prontos para acomodá-los em qualquer lugar, mesmo que os pacientes não gostem	Tengamos camas listas para ponerlas donde sea aunque no les guste a los pacientes	Tinguem llits preparats per posar-los on sigui malgrat no agradi als pacients	Préparons nos lits pour les mettre n'importe où, qu'il n'en déplaise à nos patients	Teniamo pronti i letti per metterli ovunque, anche se ai pazienti non farà piacere	Laten we bedden in orde maken zodat we ze overal neer kunnen zetten, zelfs als de patiënten het niet leuk vinden	Lass uns Betten bereitstellen, damit wir sie überall aufstellen können, auch wenn es den Patienten nicht gefällt	Dejme lůžka, kam můžeme, i když se to pacientům nebude líbit	Postawimy łóżka gdziekolwiek, nawet jeśli pacjentom to się nie podoba.	Давай приготовим койки, чтобы поставить их куда угодно, даже если пациентам это не нравится.	Підготуймо ліжка, щоб розмістити їх куди завгодно, навіть якщо пацієнтам це не сподобається	Pripremimo krevete tako da ih možemo staviti bilo gdje čak i ako se pacijentima to neće svidjeti	Ας έχουμε τα κρεβάτια έτοιμα ώστε να μπουν οπουδήποτε, ακόμα και αν δεν αρέσει στους ασθενέις.	Hastaların hoşuna gitmeyecek olsa bile, yatakları herhangi bir yere koyabilmek için hazırda tutalım	בואו נכין מיטות שנוכל למקם אותן בכל מקום גם אם המטופלים לא יאהבו את זה	لنجهز أسرة جاهزة للوضع في أي مكان حتى لو أزعج ذلك المرضى	بیایید حتی اگر بیماران دوست نداشته باشند، تخت های آماده داشته وآنها را درهرمکانی قرار دهیم	让我们准备好病床，可以放在任何地方，就算病人不喜欢也没关系	여차하면 병실 밖이라도 놓을 수 있게 여분의 침대를 준비합시다. 환자는 싫어할지도 모르지만요.	患者の反応はよくないだろうけど、すぐ使えるベッドをとにかくどこにでも用意しよう！
Card_OptB_3245	40	We already have everything we might need	We already have everything we might need	Nós já temos tudo que precisamos	Ya tenemos todo lo que podemos necesitar	Ja tenim tot el que podem necessitar	Nous avons déja tout ce qu'il faut	Abbiamo già tutto ciò di cui potremmo avere bisogno	We hebben al alles wat we nodig hebben	Wir haben bereits alles, was wir brauchen könnten	Už máme vše, co můžeme potřebovat	Mamy już wszystko, co może nam być potrzebne.	У нас уже есть все, что нужно	Ми вже маємо все необхідне	Već imamo sve što nam treba	Έχουμε ήδη ότι μπορεί να χρειαστούμε.	İhtiyacımız olan her şeye sahibiz	יש לנו את כל מה שאנחנו צריכים כבר	بالفعل لدينا كل ما قد نحتاج اليه	ما ازقبل هر چیزی را که ممکن است لازم داشته باشیم را داریم	我们已经准备了可能需要的一切	지금 가진 물자만으로 충분할 거예요.	必要なものは揃っているよ
CardTitle_3246		General practitioners	General practitioners	Médicos gerais	Medicos de familia	Metges de família	Médecins généralistes	Medici generici	Huisartsen	Allgemeinärzte	Praktický lékař	Lekarze rodzinni	Терапевты	Лікарі загальної практики	Liječnici opće prakse	Γενικοί ιατροί	Pratisyen hekimler	רופאים כלליים	الممارسين العامين	داکتران امراض عمومی	整体从业者	일반의	総合診療科
CardText_3246		The primary healthcare workers could help with taking care of the sick	The primary healthcare workers could help with taking care of the sick	A equipe de saúde principal poderia ajudar cuidando dos adoecidos	El personal de atención primaria podría ayudar a cuidar de los enfermos	El personal d'atenció primària podria ajudar a cuidar dels malalts	Le personnel d'attention prioritaire pourrait aider à soigner les malades	I medici generici potrebbero rivelarsi fondamentali per prendersi cura dei malati	De eerstelijnsgezondheidszorg kan helpen bij het verzorgen van de zieken	Das Personal der Grundversorgung könnte bei der Pflege der Kranken helfen	Personál primární péče by nám mohl pomoci se starat o nemocné	Personel medyczny w przychodniach mógłby pomóc przy chorych.	Персонал первичной медико-санитарной помощи мог бы помочь в уходе за больными.	Персонал первинної медичної допомоги може допомогти у догляді за хворими	Liječnici primarne zdravstvene zaštite mogli bi pomoći sa zbrinjavanjem oboljelih	Το προσωπικό των κέντρων βασικής περίθαλψης θα μπορούσε να βοηθήσει στην φροντίδα των αρρώστων.	Temel sağlık hizmeti personelleri hasta bakımı konusunda yardımcı olabilir	אנשי הבריאות יוכלו לעזור לטפל בחולים	يمكن لموظفي الرعاية الصحية الأولية المساعدة في رعاية المرضى	کارمندان بهداشتی ابتدایی میتوانند از بیماران مواظبت کنند	初级的医疗人员可以帮助照顾病患	일차 의료인력도 환자를 돌보게 합시다.	プライマリ・ケアセンターの医師たちも治療ができるはずです
Card_OptA_3246	88	Organize small hospitals in Primary Care Centers even if the patients cannot be isolated	Organise small hospitals in Primary Care Centres even if the patients cannot be isolated	Organize pequenos hospitais no Centros de Emergência mesmo se os pacientes não puderem ser isolados	Montemos mini hospitales en centros de atención primaria aunque no puedan aislar los pacientes	Montem mini hospitals en centres d'atenció primària malgrat no puguin aïllar els pacients	Organisons des petits hôpitaux dans les centres d'attention prioritaire, même si les patients ne peuvent pas être isolés	Organizziamo piccoli ospedali nei Centri di Primo Soccorso, anche se i pazienti non possono essere isolati	Organiseer kleine ziekenhuizen in centra voor eerstelijnszorg, zelfs als de patiënten niet geïsoleerd kunnen worden	Organisiere kleine Krankenhäuser in Zentren der Grundversorgung, auch wenn die Patienten nicht isoliert werden können	Udělejme mininemocnice v centrech primární péče, ačkoliv nebude možné pacienty izolovat	Zorganizujmy małe szpitale w przychodniach, nawet jeśli nie da się izolować pacjentów.	Организовать небольшие больницы в центрах первичной медико-санитарной помощи, даже если там невозможно изолировать пациентов	Давайте створимо міні-лікарні в центрах первинної медичної допомоги, навіть якщо пацієнтів не можна буде ізолювати	Organizirajmo pomoćne bolnice u centrima primarne zdravstvene zaštite čak i ako tamo pacijenti ne mogu biti u izolaciji	Ας οργανώσουμε μικρά νοσοκομεία σε κέντρα βασικής περίθαλψης, ακόμα και αν οι ασθενείς δεν μπορούν να απομονωθούν.	Hastalar izole edilemese bile, Temel Sağlık Hizmeti Merkezlerinde küçük hastaneler oluşturalım	ארגן בתי חולים קטנים במרכזי טיפול ראשוני גם אם לא ניתן לבודד את החולים	تنظيم مستشفيات صغيرة في مراكز الرعاية الأولية حتى لو لم يكن بالإمكان عزل المرضى	بیمارستان های کوچک را در مراکز مراقبتهای اولیه ترتیب دهید حتی اگر بیماران جدا نشوند	基层医疗中心设立小型医院，但是那儿没法隔离病人	일차 의료 센터 안에 소규모 병원을 꾸립시다. 환자 격리는 어렵겠지만요.	患者の完璧な隔離はできないけどプライマリ・ケアセンターに小さな感染症部門をつくろう
Card_OptB_3246	114	Let's send all the healthcare workers to the hospitals. The basic medical consultations will take place in the ER.	Let's send all the healthcare workers to the hospitals. The basic medical consultations will take place in the A&E.	Vamos mandar toda a equipe de saúde para os hospitais. As consultas médicas básicas serão agora na Emergência.	Enviemos a todo el personal sanitarios a los hospitales. Las consultas básicas se harán en urgencias	Enviem a tot el personal sanitari als hospitals. Les consultes bàsiques es faran d'urgències	Envoyons tout le personnel de santé aux hôpitaux. Les consultations généralistes se feront aux urgences	Inviamo tutto il personale sanitario agli ospedali. I consulti medici di base si svolgeranno nei Pronto Soccorso	Laten we al het gezondheidspersoneel naar de ziekenhuizen sturen. De medische basisconsulten vinden plaats bij de Eerste Hulp.	Lass uns das gesamte Gesundheitspersonal in die Krankenhäuser schicken. Die medizinischen Erstkonsultationen finden in der Notaufnahme statt	Pošleme veškerý zdravotnický personál do nemocnic. Obyčejné konzultace budou na pohotovosti	Wyślijmy personel medyczny do szpitali. Podstawowe konsultacje medyczne odbędą się na oddziałach ratunkowych.	Давай отправим весь медицинский персонал в больницы. Медицинские консультации будут проходить в скорой помощи.	Відправмо медичний персонал до лікарень. Медичні консультації проводитимуться у відділах невідкладної медичної допомоги	Pošaljimo cijelo zdravstveno osoblje u bolnice. Osnovne konzultacije s liječnicima odvijat će se u prostorima hitne službe	Ας στείλουμε όλο το ιατρικό προσωπικό στα νοσοκομεία. Οι βασικές ιατρικές εξετάσεις θα γίνονται στην εντατική.	Tüm sağlık personellerini hastanelere gönderelim. Temel tıbbi danışmalar acil serviste yapılsın	בואו נשלח את כל אנשי הבריאות לבתי החולים. הייעוץ הרפואי הבסיסי יתקיים בחדר המיון	لنرسل جميع العاملين الصحيين إلى المستشفيات. ستُجرى الاستشارات الطبية الأساسية في قسم الطوارئ.	بیایید همه کارمندان بهداشتی را به بیمارستان ها بفرستیم. مشاوره های ابتدایی صحی هم به اتاق اضطراری انجام خواهد شد	让我们将所有的医疗人员送到医院去。基础的医疗咨询可以在急诊室进行。	의료 인력 전부 병원에서 일하게 합시다. 간단한 진료는 응급실에서 보고요.	プライマリ・ケアセンターから全員を病院に送ろう。一般診察は救急外来の医師に担当してもらおう
CardTitle_3247		Lab on wheels	Lab on wheels	Laboratórios de Rodinhas	Laboratorio sobre ruedas	Laboratori sobre rodes	Laboratoires sur roues	Laboratori su ruote	Laboratoium op wielen	Labor auf Rädern	Laboratoř na kolečkách	Mobilne laboratorium	Лаборатория на колесах	Лабораторія на колесах	Pokretni laboratorij	Κινητό εργαστήριο.	Tekerlekli laboratuvarlar	מעבדה על גלגלים	مختبر مع عجلات	آزمایش بر روی چرخ ها	车轮上的实验室	연구실 이사	ラボの移動
CardText_3247		We need to have all the qualified workers available at the hospitals in case there's a peak on the number of patients	We need to have all the qualified workers available at the hospitals in case there's a peak on the number of patients	Nós precisamos de todo o pessoal qualificado disponível nos hospitais em caso da superlotação de pacientes	Necesitamos que todo el personal cualificado esté disponible en los hospitales por si hay un pico de pacientes	Necessitem que tot el personal qualificat estigui disponible en els hospitals per si ha ha un pic de pacients	Nous avons besoin que tout le personnel qualifié soit disponible dans les hôpitaux en cas de pic du nombre de patients	È necessario che tutto il personale qualificato sia disponibile negli ospedali nel caso ci sia un picco nel numero di pazienti	Al het gekwalificeerde personeel moet beschikbaar zijn in de ziekenhuizen voor het geval er een piek is in het aantal patiënten	Wir müssen dafür sorgen, dass das gesamte qualifizierte Personal in den Krankenhäusern verfügbar ist, falls es einen Ansturm von Patienten gibt	Pokud bude nárůst pacientů, budeme potřebovat všechen dostupný kvalifikovaný personál v nemocnicích	Wykwalifikowany personel musi być w gotowości w szpitalach w razie szczytu zachorowań.	Нам нужно, чтобы весь квалифицированный персонал был доступен в больницах, если вдруг количество пациентов достигнет пика.	Весь кваліфікований персонал повинен бути доступний в лікарнях на випадок піку госпіталізації пацієнтів	U bolnicama moramo imati na raspolaganju svo kvalificirano osoblje u slučaju da dođe do naglog rasta broja zaraženih	Χρειαζόμαστε όλο το προσωπικό με προσόντα διαθέσιμο στα νοσοκομέια σε περίπτωση κορύφωσης του αριθμού των ασθενών.	Hasta sayısının zirve yapması durumunda tüm kalifiye personelin hastanelerde hazır bulunmasına ihtiyacımız var	אנו זקוקים לכך שכל הצוות המוסמך יהיה זמין בבתי החולים במקרה שיהיה שיא במספר החולים	نحن بحاجة إلى أن يكون جميع الموظفين المؤهلين متاحين في المستشفيات في حال وصول ذروة في عدد المرضى	ما نیاز داریم  که تمام کارمندان بهداشتی کارفهم بیمارستان ها در دسترس باشند تا در اوج آمدن بیماران شروع به فعالیت کنند	我们需要所有医务人员到医院就绪，以防患者爆满	환자 수가 급증할 것에 대비해 모든 의료 인력이 병원에서 대기하도록 해야 합니다.	患者数がピークに達した場合に備えて、全ての有資格者を病院に待機させる必要があります
Card_OptA_3247	40	Let's move the labs inside the hospitals	Let's move the labs inside the hospitals	Vamos mover os laboratórios para dentro dos hospitais	Traslademos los laboratorios dentro de los hospitales	Traslladem els laboratoris dins dels hospitals	Déplaçons les laboratoires dans les hôpitaux	Spostiamo i laboratori all'interno degli ospedali	Laten we de labs binnen de ziekenhuizen verplaatsen	Lass uns die Labors innerhalb der Krankenhäuser verlegen	Přesuňme laboratoře dovnitř nemocnic	Przenieśmy laboratoria do szpitali.	Давайте перенесем лаборатории в больницы.	Давайте перенесемо лабораторії в лікарні	Preselimo laboratorije u bolnice	Ας μεταφέρουμε τα εργαστήρια μέσα στα νοσοκομεία.	Laboratuvarları hastanelere taşıyalım	בואו נעבור את המעבדות לתוך בתי החולים	لننقل المختبرات داخل المستشفيات	بیایید آزمایشگاه ها را داخل بیمارستان ها منتقل کنیم	让我们把实验室搬进医院里	모든 연구실을 병원 안으로 옮깁시다.	研究室を病院内に移そう
Card_OptB_3247	30	The labs are ok where they are	The labs are ok where they are	Os laboratórios estão bem aonde estão	Los laboratorios están bien donde están	Els laboratoris estan bé on estan	Les laboratoires sont bien là où ils sont	I laboratori stanno bene dove sono	De labs zijn ok waar ze zijn	Die Labors sind gut, wo sie sind	Laboratoře zůstanou tam, kde jsou	Laboratoria znajdują się w dobrych miejscach.	Нет, пусть лаборатории остаются на своем месте	Краще залишити лабораторії там, де вони є	Laboratoriji ostaju na svom mjestu	Τα εργαστήρια είναι καλά εκεί που βρίσκονται.	Laboratuvarlar olduğu yerde kalsın	המעבדות הן בסדר איפה הן עכשיו	إن المختبرات على ما يرام أينما كانت	آزمایشگاه ها در جایکه قرار دارند خوب هستند	实验室可以就呆在他们原来的地方	연구실을 옮길 필요까지 있을까요?	研究室は今ある場所で大丈夫
CardTitle_3248		International workers	International workers	Equipe Internacional	Personal internacional	Personal sanitari	Personnel international	Personale internazionale	Internationaal personeel	Internationales Personal	Mezinárodní personál	Personel międzynarodowy	Международный персонал	Міжнародний персонал	Međunarodno osoblje	Διεθνές προσωπικό.	Uluslararası personel	כוח אדם בינלאומי	الموظفين الدوليين	پرسنل بین المللی	国际人员	국제 인력	国際協力
CardText_3248		There is a serious lack of healthcare workers in the island	There is a serious lack of healthcare workers in the island	Tem uma séria falta de equipes de saúde na ilha	Hay una grave falta de personal sanitario en la isla	Hi ha una gran falta de personal sanitari	Il y a un manque important de personnel de santé sur l'île	C'è una grave mancanza di personale sanitario sull'isola	Er is een ernstig gebrek aan medisch personeel op het eiland	Es gibt einen ernsthaften Mangel an Gesundheitspersonal auf der Insel	Na ostrově je zoufalý nedostatek zdravotnického personálu	Na wyspie mamy poważne braki personelu medycznego.	На острове серьезная нехватка медицинского персонала.	На острові серйозно бракує медичного персоналу	Ozbiljno nam manjka zdravstvenog osoblja na otoku	Υπάρχει μια σοβαρή έλλειψη ιατρικού προσωπικού στο νησί.	Adada ciddi bir sağlık personeli eksikliği var	יש חוסר רציני באנשי צוות הבריאות באי	هناك نقص جديّ للعاملين الصحيين في الجزيرة	ما به کمبود جدی کارمندان بهداشتی دراین جزیره مواجه شده ایم	岛上严重缺少医护人员	섬에 의료 인력이 심각하게 부족합니다.	この島の医療従事者の不足はかなり深刻な問題です
Card_OptA_3248	99	We should hire doctors from islands where there are no emergencies, even if they are more expensive	We should hire doctors from islands where there are no emergencies, even if they are more expensive	Contrate doutores de outras ilhas aonde não tenha emergências, mesmo que seja caro	Fichemos médicos de otras islas donde no haya emergencias aunque salgan más caros	Contractem metges d'altres illes on no hi hagi emergència sanitària malgrat ens surti més car	Engageons des médecins des îles où il n'y a pas urgence, même s'ils sont plus chers	Assumiamo medici da isole dove non ci sono emergenze in atto, anche se sono più costosi	Huur dokters in van andere eilanden waar zich geen noodsituaties voordoen, ook al zijn ze duurder	Stelle Ärzte von anderen Inseln ein, auf denen es keine Notfälle gibt, auch wenn diese teurer sind	Přitáhněme personál z jiných ostrovů, kde není tak urgentní situace, ačkoliv nás to vyjde draho	Zatrudnijmy lekarzy z innych wysp, gdzie nie ma sytuacji wyjątkowej, nawet jeśli ma to kosztować więcej.	Нанять врачей с других островов, где нет экстренных ситуаций, даже если это будет обходиться дорого.	Давайте запросимо лікарів з інших островів, де немає надзвичайної ситуації, навіть якщо це нам вийде дорожче	Angažirajmo liječnike s drugih otoka na kojima nema zaraženih pa čak i ako su skuplji	Ας προσλάβουμε γιατρούς από άλλα νησιά όπου δεν υπάρχουν επείγοντα περιστατικά, ακόμα και αν είναι πιο ακριβοί.	Daha maliyetli olsalar bile, acil durumun olmadığı adalarda yaşayan doktorları işe alın	שכור רופאים מאיים אחרים שבהם אין מקרי חירום, גם אם הם יקרים יותר	توظيف أطباء من جزر أخرى حيث لا توجد حالات طوارئ حتى ولو كانوا أكثر كلفة	هرچند هزینه ای زیادی دارد، باید داکتران  را ازجزایردیگرکه هیچگونه شرایط اضطراری ندارند به کاراستخدام کنیم	从其他没有险情的小岛聘请医生，就算会更贵	전염병 사태가 심각하지 않은 섬에서 의사를 채용합시다. 섬 안에서 일하는 의사보다 돈을 많이 받겠지만요.	コストがかかるけど今緊急事態じゃない他の島からドクターを呼んでこよう
Card_OptB_3248	106	Hire nurses from islands where the crisis is subsiding and hope that they do not bring the infection along	Hire nurses from islands where the crisis is subsiding and hope that they do not bring the infection along	Contrate enfermeiros de ilhas aonde a crise está se apaziguando e esperemos que eles não tragam junto a infecção	Fichemos enfermeros de islas donde la crisis está remitiendo y esperemos que no traigan contagios	Contractem infermers d'illes on la crisi vagi de baixa i esperem que no ens portin nous contagis	Engageons des infirmières des îles où la crise s'est calmée et espérons qu'elles ne ramèneront pas le virus	Assumiamo infermieri dalle isole in cui la crisi sta rientrando, e speriamo che non portino con loro il virus	Huur verpleegsters in van eilanden waar de crisis afneemt en hoop dat ze de infectie niet meebrengen	Stelle Krankenschwestern von Inseln ein, auf denen die Krise nachlässt, und hoffe, dass sie die Infektion nicht mitbringen	Přitáhněme personál z ostrovů, kde se situace uklidňuje a doufejme, že nákazu nepřinesou k nám	Zatrudnijmy pielęgniarki z wysp, gdzie kryzys jest już tłumiony z nadzieją, że nie przywiozą tu infekcji.	Нанять медперсонал с островов, где кризис утихает, и будем надеяться, что они не принесут с собой инфекцию.	Краще запросимо медсестер з островів, де криза відступає, і сподіватимемось, що вони не інфіковані	Angažirajmo medicinske sestre s otoka gdje epidemija jenjava i nadajmo se da nam neće donijeti zarazu	Ας προσλάβουμε νοσοκόμες από νησιά όπου η κρίση έχει αρχίσει να υποχωρεί, και ας ελπίσουμε ότι δεν θα φέρουν μαζί τους μολύνσεις.	Krizin yatıştığı adalarda yaşayan hemşireleri işe alın ve enfeksiyonu yanlarında getirmemelerini umut edin	שכור אחיות מאיים שבהם המשבר שוכך, בתקווה שלא יביאו עימם את הזיהום	توظيف ممرضون من الجزر حيث تنحسر الأزمة ونأمل ألا يحملوا العدوى	پرستاران را از جزایر که بحران درآن فروکش کرده است استخدام کنید وامیدواریم که خود عامل بیماری نباشند	从危机已经消退的小岛上聘请护士，只是希望他们不要带来感染源	전염병이 가라앉고 있는 섬에서 간호사를 채용합시다. 그 중 감염자가 없기만을 바라야지요.	感染が落ち着いた他の島から看護師を呼ぼう。ウイルスを持ってこなければいいんだけど…
CardTitle_3249		Beach sunbeds	Beach sunbeds	Leitos de Verão	Tumbonas de playa	Cadires de platja	Transats de plage	Lettini da spiaggia	Strand ligbedden	Sonnenliegen am Strand	Plážová lehátka	Leżaki na plażach	Пляжные шезлонги	Пляжні лежаки	Ležaljke za plažu	Ξαπλώστρες θαλάσσης.	Plaj şezlongları	מיטות יוגה	كراسي الاستلقاء للشاطئ	بسترهای ساحلی	沙滩床	간이침대	布団
